Date,Liguria,Piemonte,Lombardia,Veneto,Trentino A.A.,Friuli V.G.,Emilia Romagna,Marche,Toscana,Umbria,Lazio,Abruzzo,Molise,Campania,Basilicata,Puglia,Calabria,Sicilia,Sardegna
2020-01-31,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-02-21,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,1,40,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,57,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,61,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,1,0,67,11,1,0,8,0,2,0,0,0,0,0,0,0,0,3,0
2020-02-26,10,0,65,28,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,8,1,98,40,0,0,50,2,0,0,0,1,0,3,0,1,0,1,0
2020-02-28,0,9,128,40,0,0,48,3,6,0,0,0,0,1,0,2,1,0,0
2020-02-29,23,0,84,40,0,0,72,5,3,0,3,1,0,9,0,0,0,0,0
2020-03-01,–17,38,369,72,0,6,68,14,2,2,0,3,0,4,0,0,0,5,0
2020-03-02,–3,2,270,10,0,3,50,10,0,0,1,0,0,0,0,1,0,–2,0
2020-03-03,2,5,266,34,4,4,85,26,6,6,7,1,3,13,1,2,0,0,1
2020-03-04,2,26,300,53,1,5,124,23,19,1,16,1,0,1,0,3,0,11,1
2020-03-05,2,2,26,431,47,2,3,154,40,23,0,14,1,4,14,0,5,1,0